match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5398329117,4525360357,false,1588685100,561,3370,1,0,22,26,4,188,"10,53,97,44,26","11,93,30,40,120"
5398319006,4525354754,false,1588684805,602,4184,1,0,22,55,4,153,"26,74,49,95,14","126,60,44,87,100"
5398316603,4525349426,false,1588684720,406,3031,6,7,22,53,9,182,"76,42,107,87,26","114,104,83,56,55"
5398308807,4525344677,false,1588684509,535,3754,2,7,22,47,9,192,"68,121,1,15,42","112,51,25,39,95"
5398299807,4525360312,false,1588684244,1413,3133,3,7,22,53,6,184,"18,85,7,50,8","80,15,114,30,110"
5398299403,4525358842,true,1588684229,1315,3749,2,7,22,53,6,186,"17,128,25,99,12","69,74,50,82,8"
5398299113,4525359831,false,1588684225,1421,1924,1,7,22,53,5,187,"126,6,29,113,30","98,26,87,93,82"
5398298610,4525357272,false,1588684210,1311,3710,2,7,22,56,4,152,"87,29,60,17,1","102,68,94,9,73"
5398296606,4525357802,false,1588684150,1329,3759,7,7,22,67,10,185,"129,17,51,121,44","112,6,114,38,20"
5398296507,4525357530,false,1588684145,1408,3745,5,7,22,60,8,236,"106,101,5,129,44","16,42,25,32,11"
5398295906,4525360164,true,1588684125,1529,5498,7,7,22,79,8,172,"109,98,36,64,35","34,28,112,121,70"
5398295901,4525353779,true,1588684129,1184,3368,2,7,22,47,4,155,"21,89,75,97,106","8,50,9,74,7"
5398295505,4525344933,false,1588684120,981,3536,4,0,3,50,7,236,"1,120,42,86,45","104,95,22,126,51"
5398295317,4525355980,true,1588684115,1401,4320,1,0,22,42,5,231,"44,85,23,42,30","6,67,108,62,86"
5398294809,4525358600,false,1588684098,1462,4584,1,0,4,57,2,241,"62,56,38,44,81","85,106,97,67,32"
5398294517,4525355919,true,1588684070,1375,3845,2,7,3,54,7,225,"29,31,72,59,20","30,42,84,126,12"
5398294206,4525359068,false,1588684084,1525,,,7,22,24,8,182,"17,32,14,114,108","105,4,36,98,6"
5398293808,4525359898,true,1588684064,1568,2867,2,7,22,63,4,183,"32,21,74,23,68","14,10,31,9,63"
5398293806,4525356255,false,1588684063,1418,3037,1,7,22,51,5,135,"74,19,69,8,14","88,93,126,105,42"
5398293216,4525358440,true,1588684049,1555,994,1,7,22,32,6,182,"110,54,32,106,84","68,114,57,94,81"
5398293007,4525338918,false,1588684049,601,,,7,22,74,5,155,"27,120,77,42,100","39,28,109,7,56"
5398292617,4525351760,false,1588684033,1322,,,0,22,21,2,183,"53,95,126,6,44","80,30,39,4,21"
5398292302,4525355047,true,1588684026,1470,2720,4,7,22,40,6,185,"22,50,8,73,28","62,23,104,18,32"
5398292216,4525355149,true,1588684012,1437,,,7,22,33,5,133,"93,82,79,32,45","84,48,95,14,75"
5398291212,4525349485,true,1588683995,1233,3123,2,7,22,43,10,227,"128,95,93,108,31","85,86,114,28,23"
5398290502,4525346380,true,1588683974,1150,3244,3,7,22,55,7,132,"86,51,36,56,80","14,31,106,22,78"
5398290405,4525359908,false,1588683968,1686,3084,2,7,22,43,7,186,"27,8,103,104,17","53,128,14,70,29"
5398289705,4525353011,false,1588683950,1456,4582,2,0,3,70,8,223,"111,25,21,49,1","129,64,53,39,87"
5398289416,4525354971,true,1588683943,1558,1556,3,7,3,31,8,223,"40,42,23,79,22","103,101,126,104,1"
5398289310,4525360517,true,1588683935,1734,3124,1,7,22,32,2,225,"42,36,22,12,14","84,44,39,129,31"
5398289307,4525359354,true,1588683935,1740,3307,5,0,4,47,6,155,"96,25,90,26,10","65,29,44,11,55"
5398289205,4525356550,false,1588683934,1594,2789,2,7,22,37,8,182,"91,104,93,111,12","100,113,44,98,84"
5398288813,4525358796,true,1588683923,1673,3551,5,7,3,53,8,236,"6,129,106,112,62","70,2,46,100,86"
5398288707,4525357798,true,1588683918,1682,2646,3,0,3,41,5,231,"5,11,32,29,14","35,106,62,31,93"
5398288512,4525347826,true,1588683909,1279,3552,7,7,22,54,10,227,"36,40,7,6,98","16,77,44,45,50"
5398288506,4525358490,true,1588683905,1681,2172,1,7,22,36,4,121,"62,63,4,85,2","74,49,9,26,70"
5398288406,4525358689,false,1588683911,1681,2461,2,7,3,41,9,236,"44,106,50,129,64","26,37,32,70,18"
5398288203,4525354488,true,1588683889,1550,5620,3,7,22,80,4,138,"99,53,3,100,12","41,11,58,26,112"
5398287805,4525358932,false,1588683861,1732,4601,6,7,22,62,7,135,"9,64,10,71,1","41,36,5,39,83"
5398287707,4525356897,true,1588683889,1671,2627,1,7,22,36,5,185,"82,1,105,128,40","14,84,56,2,12"
5398287701,4525355993,false,1588683889,1591,,,7,22,32,7,227,"79,11,85,1,84","76,87,128,59,62"
5398287601,4525356913,false,1588683884,1685,2450,2,0,4,39,5,186,"57,11,28,72,8","21,86,15,48,5"
5398287115,4525337543,true,1588683844,962,3332,3,0,4,48,8,232,"10,93,62,86,108","90,15,7,73,12"
5398287017,4525360317,false,1588683850,1680,3130,5,7,22,52,8,135,"22,51,18,40,59","114,87,46,96,54"
5398286909,4525357910,false,1588683853,1615,4317,2,7,22,56,9,227,"104,109,26,100,11","94,21,7,10,50"
5398286612,4525346541,true,1588683859,1297,3685,3,7,3,66,8,227,"62,25,93,10,119","106,14,1,87,31"
5398286608,4525358499,true,1588683851,1739,1998,2,7,22,32,4,145,"95,44,101,26,82","32,42,46,7,83"
5398286313,4525355872,false,1588683835,1632,2918,2,7,22,40,6,184,"67,10,13,21,100","37,74,1,114,31"
5398286218,4525359211,true,1588683844,1774,,,7,22,23,3,137,"1,99,30,128,51","74,84,63,5,93"
5398286214,4525357388,true,1588683844,1700,4094,1,0,22,52,4,155,"87,100,39,42,36","33,25,21,26,95"
5398286209,4525357572,true,1588683839,1738,4554,5,7,3,67,10,236,"5,22,104,8,106","86,93,46,14,51"
5398286113,4525353698,false,1588683843,1489,,,0,22,48,3,227,"95,119,92,69,45","13,86,73,74,100"
